Rented Bike Count,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons_Autumn,Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday_Holiday,Holiday_No Holiday,Hour_sin,Hour_cos
254,-5.2,37,2.2,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.0,1.0
204,-5.5,38,0.8,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.25881904510252074,0.9659258262890683
173,-6.0,39,1.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,0.8660254037844387
107,-6.2,40,0.9,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.7071067811865476,0.7071067811865476
78,-6.0,36,2.3,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.8660254037844386,0.5000000000000001
100,-6.4,37,1.5,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.9659258262890683,0.25881904510252074
181,-6.6,35,1.3,2000,0.0,0.0,0.0,0,0,0,1,0,1,1.0,6.123233995736766e-17
460,-7.4,38,0.9,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.9659258262890683,-0.25881904510252063
930,-7.6,37,1.1,2000,0.01,0.0,0.0,0,0,0,1,0,1,0.8660254037844387,-0.4999999999999998
490,-6.5,27,0.5,1928,0.23,0.0,0.0,0,0,0,1,0,1,0.7071067811865476,-0.7071067811865475
339,-3.5,24,1.2,1996,0.65,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,-0.8660254037844387
360,-0.5,21,1.3,1936,0.94,0.0,0.0,0,0,0,1,0,1,0.258819045102521,-0.9659258262890682
449,1.7,23,1.4,2000,1.11,0.0,0.0,0,0,0,1,0,1,1.2246467991473532e-16,-1.0
451,2.4,25,1.6,2000,1.16,0.0,0.0,0,0,0,1,0,1,-0.2588190451025208,-0.9659258262890683
447,3.0,26,2.0,2000,1.01,0.0,0.0,0,0,0,1,0,1,-0.4999999999999997,-0.8660254037844388
463,2.1,36,3.2,2000,0.54,0.0,0.0,0,0,0,1,0,1,-0.7071067811865471,-0.7071067811865479
484,1.2,54,4.2,793,0.24,0.0,0.0,0,0,0,1,0,1,-0.8660254037844385,-0.5000000000000004
555,0.8,58,1.6,2000,0.08,0.0,0.0,0,0,0,1,0,1,-0.9659258262890683,-0.25881904510252063
862,0.6,66,1.4,2000,0.0,0.0,0.0,0,0,0,1,0,1,-1.0,-1.8369701987210297e-16
600,0.0,77,1.7,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.9659258262890684,0.2588190451025203
426,-0.3,79,1.5,1913,0.0,0.0,0.0,0,0,0,1,0,1,-0.8660254037844386,0.5000000000000001
405,-0.8,81,0.8,1687,0.0,0.0,0.0,0,0,0,1,0,1,-0.7071067811865477,0.7071067811865474
398,-0.9,83,1.5,1380,0.0,0.0,0.0,0,0,0,1,0,1,-0.5000000000000004,0.8660254037844384
323,-1.3,84,1.0,1265,0.0,0.0,0.0,0,0,0,1,0,1,-0.25881904510252157,0.9659258262890681
328,-1.8,87,1.1,994,0.0,0.0,0.0,0,0,0,1,0,1,0.0,1.0
308,-2.2,86,0.6,990,0.0,0.0,0.0,0,0,0,1,0,1,0.25881904510252074,0.9659258262890683
262,-2.9,86,1.5,1256,0.0,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,0.8660254037844387
167,-3.5,81,2.2,1221,0.0,0.0,0.0,0,0,0,1,0,1,0.7071067811865476,0.7071067811865476
89,-3.8,79,2.0,1167,0.0,0.0,0.0,0,0,0,1,0,1,0.8660254037844386,0.5000000000000001
79,-4.0,79,1.5,1202,0.0,0.0,0.0,0,0,0,1,0,1,0.9659258262890683,0.25881904510252074
70,-4.3,82,2.1,1178,0.0,0.0,0.0,0,0,0,1,0,1,1.0,6.123233995736766e-17
146,-4.4,81,2.5,1276,0.0,0.0,0.0,0,0,0,1,0,1,0.9659258262890683,-0.25881904510252063
219,-4.2,79,2.1,1436,0.01,0.0,0.0,0,0,0,1,0,1,0.8660254037844387,-0.4999999999999998
328,-2.9,68,1.6,1487,0.3,0.0,0.0,0,0,0,1,0,1,0.7071067811865476,-0.7071067811865475
334,-0.4,57,1.6,1309,0.8,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,-0.8660254037844387
388,1.9,49,1.8,1406,1.0,0.0,0.0,0,0,0,1,0,1,0.258819045102521,-0.9659258262890682
479,4.3,41,1.3,1666,1.09,0.0,0.0,0,0,0,1,0,1,1.2246467991473532e-16,-1.0
606,6.0,36,1.8,1780,1.12,0.0,0.0,0,0,0,1,0,1,-0.2588190451025208,-0.9659258262890683
611,7.3,35,1.3,1955,0.99,0.0,0.0,0,0,0,1,0,1,-0.4999999999999997,-0.8660254037844388
589,7.6,41,2.3,1953,0.74,0.0,0.0,0,0,0,1,0,1,-0.7071067811865471,-0.7071067811865479
618,6.4,48,2.6,1945,0.22,0.0,0.0,0,0,0,1,0,1,-0.8660254037844385,-0.5000000000000004
572,6.0,51,2.5,1891,0.06,0.0,0.0,0,0,0,1,0,1,-0.9659258262890683,-0.25881904510252063
489,5.5,53,1.5,1697,0.0,0.0,0.0,0,0,0,1,0,1,-1.0,-1.8369701987210297e-16
385,5.0,52,2.3,1666,0.0,0.0,0.0,0,0,0,1,0,1,-0.9659258262890684,0.2588190451025203
359,4.6,51,1.2,1585,0.0,0.0,0.0,0,0,0,1,0,1,-0.8660254037844386,0.5000000000000001
377,4.1,55,1.2,1448,0.0,0.0,0.0,0,0,0,1,0,1,-0.7071067811865477,0.7071067811865474
354,3.5,54,1.5,1446,0.0,0.0,0.0,0,0,0,1,0,1,-0.5000000000000004,0.8660254037844384
366,4.0,56,1.0,1352,0.0,0.0,0.0,0,0,0,1,0,1,-0.25881904510252157,0.9659258262890681
342,4.0,58,1.4,1296,0.0,0.0,0.0,0,0,0,1,0,1,0.0,1.0
227,3.9,69,1.7,485,0.0,0.0,0.0,0,0,0,1,0,1,0.25881904510252074,0.9659258262890683
228,3.3,79,1.4,830,0.0,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,0.8660254037844387
117,3.4,71,1.6,1011,0.0,0.5,0.0,0,0,0,1,0,1,0.7071067811865476,0.7071067811865476
76,3.5,73,1.0,1060,0.0,0.0,0.0,0,0,0,1,0,1,0.8660254037844386,0.5000000000000001
32,3.9,75,1.9,914,0.0,0.0,0.0,0,0,0,1,0,1,0.9659258262890683,0.25881904510252074
13,3.4,86,2.5,278,0.0,1.0,0.0,0,0,0,1,0,1,1.0,6.123233995736766e-17
22,3.1,91,1.2,129,0.0,0.0,0.0,0,0,0,1,0,1,0.9659258262890683,-0.25881904510252063
85,3.2,92,1.8,244,0.0,0.0,0.0,0,0,0,1,0,1,0.8660254037844387,-0.4999999999999998
152,3.5,91,1.8,231,0.02,2.5,0.0,0,0,0,1,0,1,0.7071067811865476,-0.7071067811865475
200,4.4,89,2.2,257,0.24,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,-0.8660254037844387
273,5.1,87,1.4,321,0.25,0.0,0.0,0,0,0,1,0,1,0.258819045102521,-0.9659258262890682
333,5.8,85,1.7,349,0.43,0.0,0.0,0,0,0,1,0,1,1.2246467991473532e-16,-1.0
495,6.8,81,1.9,390,0.6,0.0,0.0,0,0,0,1,0,1,-0.2588190451025208,-0.9659258262890683
563,7.6,76,1.2,422,0.69,0.0,0.0,0,0,0,1,0,1,-0.4999999999999997,-0.8660254037844388
621,8.0,73,1.6,433,0.53,0.0,0.0,0,0,0,1,0,1,-0.7071067811865471,-0.7071067811865479
598,7.6,77,1.6,399,0.2,0.0,0.0,0,0,0,1,0,1,-0.8660254037844385,-0.5000000000000004
545,6.7,82,1.5,358,0.05,0.0,0.0,0,0,0,1,0,1,-0.9659258262890683,-0.25881904510252063
443,6.0,84,1.9,327,0.0,0.0,0.0,0,0,0,1,0,1,-1.0,-1.8369701987210297e-16
422,5.7,85,1.7,309,0.0,0.0,0.0,0,0,0,1,0,1,-0.9659258262890684,0.2588190451025203
397,5.2,87,1.4,253,0.0,0.0,0.0,0,0,0,1,0,1,-0.8660254037844386,0.5000000000000001
385,4.7,87,1.2,247,0.0,0.0,0.0,0,0,0,1,0,1,-0.7071067811865477,0.7071067811865474
350,4.3,89,1.8,201,0.0,0.0,0.0,0,0,0,1,0,1,-0.5000000000000004,0.8660254037844384
303,3.9,90,1.3,194,0.0,0.0,0.0,0,0,0,1,0,1,-0.25881904510252157,0.9659258262890681
285,4.2,88,0.6,216,0.0,0.0,0.0,0,0,0,1,0,1,0.0,1.0
186,4.3,87,0.5,221,0.0,0.0,0.0,0,0,0,1,0,1,0.25881904510252074,0.9659258262890683
112,4.4,87,1.8,207,0.0,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,0.8660254037844387
65,3.6,85,2.3,206,0.0,0.0,0.0,0,0,0,1,0,1,0.7071067811865476,0.7071067811865476
41,2.8,89,1.5,130,0.0,0.0,0.0,0,0,0,1,0,1,0.8660254037844386,0.5000000000000001
82,2.0,83,2.7,253,0.0,0.0,0.0,0,0,0,1,0,1,0.9659258262890683,0.25881904510252074
200,1.2,76,3.7,371,0.0,0.1,0.0,0,0,0,1,0,1,1.0,6.123233995736766e-17
498,0.2,68,3.4,702,0.0,0.0,0.0,0,0,0,1,0,1,0.9659258262890683,-0.25881904510252063
937,-0.8,69,3.5,954,0.01,0.0,0.0,0,0,0,1,0,1,0.8660254037844387,-0.4999999999999998
509,-1.5,47,4.2,1888,0.22,0.0,0.0,0,0,0,1,0,1,0.7071067811865476,-0.7071067811865475
311,-1.1,40,4.5,2000,0.64,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,-0.8660254037844387
379,-0.5,41,4.1,1799,0.94,0.0,0.0,0,0,0,1,0,1,0.258819045102521,-0.9659258262890682
393,-0.3,38,4.8,1823,1.11,0.0,0.0,0,0,0,1,0,1,1.2246467991473532e-16,-1.0
391,0.0,30,5.4,1938,1.17,0.0,0.0,0,0,0,1,0,1,-0.2588190451025208,-0.9659258262890683
338,0.1,27,4.5,2000,1.09,0.0,0.0,0,0,0,1,0,1,-0.4999999999999997,-0.8660254037844388
341,-0.1,25,5.8,2000,0.88,0.0,0.0,0,0,0,1,0,1,-0.7071067811865471,-0.7071067811865479
375,-0.2,23,4.7,2000,0.55,0.0,0.0,0,0,0,1,0,1,-0.8660254037844385,-0.5000000000000004
515,-1.3,26,5.3,2000,0.18,0.0,0.0,0,0,0,1,0,1,-0.9659258262890683,-0.25881904510252063
807,-2.1,29,3.9,2000,0.0,0.0,0.0,0,0,0,1,0,1,-1.0,-1.8369701987210297e-16
568,-2.9,32,3.2,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.9659258262890684,0.2588190451025203
398,-3.6,38,3.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.8660254037844386,0.5000000000000001
397,-4.6,43,4.5,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.7071067811865477,0.7071067811865474
353,-5.3,45,2.5,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.5000000000000004,0.8660254037844384
248,-5.8,44,2.4,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.25881904510252157,0.9659258262890681
216,-6.1,42,2.6,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.0,1.0
198,-6.5,41,2.8,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.25881904510252074,0.9659258262890683
124,-6.8,41,2.5,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,0.8660254037844387
62,-6.9,39,2.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.7071067811865476,0.7071067811865476
42,-7.2,34,3.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.8660254037844386,0.5000000000000001
82,-7.4,33,2.6,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.9659258262890683,0.25881904510252074
172,-7.4,34,3.2,2000,0.0,0.0,0.0,0,0,0,1,0,1,1.0,6.123233995736766e-17
381,-7.5,33,2.2,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.9659258262890683,-0.25881904510252063
812,-8.1,36,1.6,2000,0.01,0.0,0.0,0,0,0,1,0,1,0.8660254037844387,-0.4999999999999998
462,-7.6,31,1.3,1974,0.21,0.0,0.0,0,0,0,1,0,1,0.7071067811865476,-0.7071067811865475
269,-5.5,26,2.8,1967,0.64,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,-0.8660254037844387
334,-3.9,25,0.0,1959,0.0,0.0,0.0,0,0,0,1,0,1,0.258819045102521,-0.9659258262890682
321,-2.3,25,0.0,1962,0.0,0.0,0.0,0,0,0,1,0,1,1.2246467991473532e-16,-1.0
325,-1.6,27,0.0,1955,0.0,0.0,0.0,0,0,0,1,0,1,-0.2588190451025208,-0.9659258262890683
334,-1.1,28,0.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.4999999999999997,-0.8660254037844388
353,-0.7,28,0.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.7071067811865471,-0.7071067811865479
435,-0.5,30,0.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.8660254037844385,-0.5000000000000004
529,-1.6,35,0.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.9659258262890683,-0.25881904510252063
789,-2.6,40,0.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,-1.0,-1.8369701987210297e-16
597,-3.2,45,0.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.9659258262890684,0.2588190451025203
418,-3.5,46,0.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.8660254037844386,0.5000000000000001
415,-3.7,47,0.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.7071067811865477,0.7071067811865474
393,-2.8,49,0.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.5000000000000004,0.8660254037844384
244,-2.5,59,0.0,1210,0.0,0.0,0.0,0,0,0,1,0,1,-0.25881904510252157,0.9659258262890681
145,-2.8,77,0.0,331,0.0,0.1,0.1,0,0,0,1,0,1,0.0,1.0
144,-3.0,79,0.0,293,0.0,0.0,0.3,0,0,0,1,0,1,0.25881904510252074,0.9659258262890683
117,-3.0,79,0.0,1862,0.0,0.0,0.4,0,0,0,1,0,1,0.49999999999999994,0.8660254037844387
78,-3.2,78,0.0,1808,0.0,0.2,0.4,0,0,0,1,0,1,0.7071067811865476,0.7071067811865476
58,-3.4,75,0.0,1982,0.0,0.0,0.4,0,0,0,1,0,1,0.8660254037844386,0.5000000000000001
87,-3.6,76,0.0,1934,0.0,0.0,0.4,0,0,0,1,0,1,0.9659258262890683,0.25881904510252074
